buildNo,shortVIN,date,extColor,intColor,trans
496,VY60615,2013-8-11,LeMans Blue,Blk/Blue,DCT
497,VY60616,2013-8-12,Jet Black,Blk/Blue,M6
498,VY60619,2013-8-13,Alpine White,Blk/Blue,DCT
499,VY60620,2013-8-14,Space Gray,Coral,M6
500,VY60622,2013-8-15,Sapphire Black,Blk/Blue,M6
501,VY60626,2013-8-16,Alpine White,Oyster,M6
502,VY60640,2013-8-17,LeMans Blue,Blk/Blue,M6
503,VY60644,2013-8-18,Sapphire Black,Black,M6
504,VY60645,2013-8-19,Mineral Gray,Blk/Blue,DCT
505,VY60646,2013-8-20,Mineral Gray,Blk/Blue,M6
506,VY60652,2013-8-21,Jet Black,Blk/Blue,DCT
507,VY60658,2013-8-22,Sapphire Black,Black,DCT
508,VY60662,2013-8-23,Alpine White,Taupe,DCT
509,VY60665,2013-8-24,Carbon Black,Black,M6
510,VY60666,2013-8-25,Jet Black,Blk/Blue,M6
511,VY60667,2013-8-26,Alpine White,Black,M6
512,VY60670,2013-8-27,Alpine White,Oyster,DCT
513,VY60681,2013-8-28,Sapphire Black,Coral,DCT
514,VY60684,2013-8-29,Space Gray,Black,DCT
515,VY60686,2013-8-30,LeMans Blue,Blk/Blue,M6
516,VY60687,2013-8-31,LeMans Blue,Blk/Blue,M6
517,VY60688,2013-9-1,Mineral Gray,Black,DCT
518,VY60689,2013-9-2,LeMans Blue,Blk/Blue,M6
519,VY60693,2013-9-3,Alpine White,Coral,M6
520,VY60694,2013-9-4,Titanium Silver,Black,M6
521,VY60697,2013-9-5,LeMans Blue,Blk/Blue,DCT
522,VY60699,2013-9-6,Carbon Black,Black,DCT
523,VY60700,2013-9-7,Deep Sea Blue,Coral,M6
524,VY60702,2013-9-8,Deep Sea Blue,Blk/Blue,M6
525,VY60711,2013-9-9,Alpine White,Blk Sensatec,M6
526,VY60715,2013-9-10,Sapphire Black,Blk/Blue,M6
527,VY60721,2013-9-11,Sapphire Black,Oyster,DCT
528,VY60726,2013-9-12,Alpine White,Blk/Blue,DCT
529,VY60727,2013-9-13,Sapphire Black,Blk/Blue,M6
530,VY60734,2013-9-14,Space Gray,Blk Sensatec,DCT
531,VY60736,2013-9-15,Alpine White,Blk/Blue,DCT
532,VY60737,2013-9-16,Alpine White,Coral,DCT
533,VY60739,2013-9-17,Titanium Silver,Black,DCT
534,VY60740,2013-9-18,Mineral Gray,Coral,M6
535,VY60745,2013-9-19,Titanium Silver,Coral,M6
536,VY60757,2013-9-20,Alpine White,Oyster,DCT
537,VY60759,2013-9-21,LeMans Blue,Oyster,DCT
538,VY60765,2013-9-22,Jet Black,Blk/Blue,DCT
539,VY60766,2013-9-23,Carbon Black,Blk/Blue,DCT
540,VY60768,2013-9-24,Carbon Black,Blk/Blue,DCT
541,VY60771,2013-9-25,Alpine White,Black,M6
542,VY60773,2013-9-26,Carbon Black,Oyster,DCT
543,VY60774,2013-9-27,Mineral Gray,Black,DCT
544,VY60778,2013-9-28,Carbon Black,Blk/Blue,M6
545,VY60782,2013-9-29,Alpine White,Coral,DCT
546,VY60783,2013-9-30,Alpine White,Coral,DCT
547,VY60785,2013-10-1,Carbon Black,Blk/Blue,M6
548,VY60788,2013-10-2,Mineral Gray,Black,DCT
549,VY60793,2013-10-3,LeMans Blue,Blk/Blue,M6
550,VY60799,2013-10-4,Carbon Black,Oyster,DCT
551,VY60805,2013-10-5,Carbon Black,Black,M6
552,VY60806,2013-10-6,Carbon Black,Blk/Blue,M6
553,VY60809,2013-10-7,LeMans Blue,Blk/Blue,M6
554,VY60816,2013-10-8,Alpine White,Blk Sensatec,M6
555,VY60818,2013-10-9,LeMans Blue,Blk Sensatec,M6
556,VY60821,2013-10-10,Carbon Black,Blk Sensatec,DCT
557,VY60822,2013-10-11,Sapphire Black,Blk/Blue,M6
558,VY60825,2013-10-12,LeMans Blue,Black,M6
559,VY60826,2013-10-13,Alpine White,Coral,DCT
560,VY60829,2013-10-14,Vermillion Red,Oyster,M6
561,VY60833,2013-10-15,Deep Sea Blue,Blk/Blue,DCT
562,VY60834,2013-10-16,Jet Black,Blk/Blue,DCT
563,VY60839,2013-10-17,Carbon Black,Oyster,M6
564,VY60841,2013-10-18,LeMans Blue,Blk/Blue,M6
565,VY60845,2013-10-19,Mineral Gray,Coral,M6
566,VY60851,2013-10-20,Sapphire Black,Taupe,DCT
567,VY60852,2013-10-21,Titanium Silver,Taupe,DCT
568,VY60853,2013-10-22,Jet Black,Black,M6
569,VY60855,2013-10-23,LeMans Blue,Blk/Blue,DCT
570,VY60858,2013-10-24,Jet Black,Blk Sensatec,M6
571,VY60862,2013-10-25,LeMans Blue,Blk/Blue,DCT
572,VY60867,2013-10-26,Mineral Gray,Black,DCT
573,VY60871,2013-10-27,Sapphire Black,Blk/Blue,DCT
574,VY60873,2013-10-28,Vermillion Red,Blk/Blue,DCT
575,VY60878,2013-10-29,Alpine White,Coral,M6
576,VY60879,2013-10-30,Sapphire Black,Black,DCT
577,VY60885,2013-10-31,Sapphire Black,Coral,DCT
578,VY60890,2013-11-1,Mineral Gray,Blk/Blue,DCT
579,VY60891,2013-11-2,Alpine White,Coral,M6
580,VY60894,2013-11-3,LeMans Blue,Blk Sensatec,M6
581,VY60895,2013-11-4,Space Gray,Black,M6
582,VY60896,2013-11-5,Carbon Black,Blk/Blue,DCT
583,VY99701,2013-11-6,Mineral Gray,Oyster,DCT
584,VY99702,2013-11-7,Carbon Black,Oyster,DCT
585,VY99703,2013-11-8,Carbon Black,Blk/Blue,DCT
586,VY99704,2013-11-9,Alpine White,Blk/Blue,M6
